event,arg,line,offset,opcode,locals,localObjects
call,,1,-1,<0>,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
line,,1,0,LOAD_NAME,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
opcode,,1,0,LOAD_NAME,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
opcode,,1,2,LOAD_METHOD,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
opcode,,1,4,LOAD_CONST,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
opcode,,1,6,LOAD_CONST,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
opcode,,1,8,CALL_METHOD,"{'functionCallString': 'isMatch', 'arguments': [{'input': '""abab""'}, {'input': '""a*""'}], 'argumentString': '""abab"",""a*""', 'argument': {'input': '""a*""'}, 'f': <_io.TextIOWrapper name='algoData0e0be835-58ed-4894-b6e9-1654421c141a.csv' mode='w' encoding='UTF-8'>, 'writer': <_csv.writer object at 0x7f7fb86f12c0>, 'solution': <fucky.Solution object at 0x7f7fb86d4970>}","{""functionCallString"": ""isMatch"", ""arguments"": [{""input"": ""\""abab\""""}, {""input"": ""\""a*\""""}], ""argumentString"": ""\""abab\"",\""a*\"""", ""argument"": {""input"": ""\""a*\""""}}"
call,,3,-1,<0>,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
line,,4,0,LOAD_GLOBAL,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,0,LOAD_GLOBAL,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,2,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,4,CALL_FUNCTION,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,6,LOAD_GLOBAL,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,8,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,10,CALL_FUNCTION,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,12,ROT_TWO,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,14,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*'}","{""s"": ""abab"", ""p"": ""a*""}"
opcode,,4,16,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4}"
line,,5,18,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2}"
opcode,,5,18,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2}"
opcode,,5,20,DUP_TOP,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2}"
opcode,,5,22,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2}"
opcode,,5,24,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0}"
line,,6,26,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,6,26,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,6,28,UNPACK_SEQUENCE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,6,30,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,6,32,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
line,,7,34,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,7,34,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,7,36,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,7,38,COMPARE_OP,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,7,40,POP_JUMP_IF_FALSE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
line,,8,42,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,42,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,44,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,46,COMPARE_OP,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,48,POP_JUMP_IF_FALSE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,50,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,52,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,54,BINARY_SUBSCR,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,56,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,58,COMPARE_OP,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,60,POP_JUMP_IF_TRUE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,62,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,64,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,66,BINARY_SUBSCR,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,68,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,70,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,72,BINARY_SUBSCR,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,74,COMPARE_OP,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,8,76,POP_JUMP_IF_FALSE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
line,,9,78,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,9,78,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,9,80,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,9,82,INPLACE_ADD,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
opcode,,9,84,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 0, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 0, ""pi"": 0}"
line,,10,86,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 0}"
opcode,,10,86,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 0}"
opcode,,10,88,LOAD_CONST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 0}"
opcode,,10,90,INPLACE_ADD,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 0}"
opcode,,10,92,STORE_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 0, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 0}"
opcode,,10,94,JUMP_ABSOLUTE,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 1, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 1}"
line,,7,34,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 1, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 1}"
opcode,,7,34,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 1, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 1}"
opcode,,7,36,LOAD_FAST,"{'self': <fucky.Solution object at 0x7f7fb86d4970>, 's': 'abab', 'p': 'a*', 'sn': 4, 'pn': 2, 'si': 1, 'pi': 1, 'save_si': None, 'save_pi': None}","{""s"": ""abab"", ""p"": ""a*"", ""sn"": 4, ""pn"": 2, ""si"": 1, ""pi"": 1}"
